1.662086706251873329e+04,1.476371423115480502e+04,3.420743379025522154e+04,2.398354986307621584e+04,2.119349363159597124e+04,1.705067343051481657e+04,1.665670390075774048e+04,6.740418428047363705e+03,1.898604207406656496e+04,8.567627724034142375e+03,7.743828700602934987e+03,6.096311529464657724e+03,4.753488791193515681e+03,5.256760618258933391e+03,4.878193419343828282e+03,4.589613420440610753e+03
1.556609351526271894e+04,1.549130195186497622e+04,2.441907890087051783e+04,4.618025918768573320e+04,2.806178515416033406e+04,2.965985278483205184e+04,2.147228058692908598e+04,1.096627913475209789e+04,1.224706669690680064e+04,1.139682892529564742e+04,8.747573911549610784e+03,5.736862076343320950e+03,6.283878701598833686e+03,6.686658188661099302e+03,6.769022565472890165e+03,5.739266964393485978e+03
2.928600561706634835e+04,5.415711270313950081e+04,6.236754374166214257e+04,6.579357056823997118e+04,9.967775547324573563e+04,8.882126255189471703e+04,4.243429382879590412e+04,2.766585875327471513e+04,1.597450934902739755e+04,1.453693019671133152e+04,7.855159752466521240e+03,8.171374224105174108e+03,7.497165083846287416e+03,7.013445940259957752e+03,8.496821548048037585e+03,6.728836567525385362e+03
3.730945085448365717e+04,6.121553563407122419e+04,1.064126202994687337e+05,7.102392209983612702e+04,8.112733526030028588e+04,1.532321401340411394e+05,9.130069219835339754e+04,3.590910112517711968e+04,3.485767287617854163e+04,1.732248918586993022e+04,9.819506563748998815e+03,1.417611289274787487e+04,9.978269839672364469e+03,7.265046616032067504e+03,7.299257965055296154e+03,7.453107639438630031e+03
2.695346876997390427e+04,2.157315973926221704e+04,4.352217887895808963e+04,1.081195621143174649e+05,7.565086673290883482e+04,6.978542261048697401e+04,1.118097959588274971e+05,8.735060707553915563e+04,4.611541288429229462e+04,4.700320408158910141e+04,2.055871240235013829e+04,2.101525444035387773e+04,1.201085244764955860e+04,9.766334054598524745e+03,8.510403256870326004e+03,8.461035214773371990e+03
3.344224970483495417e+04,2.052753998733112167e+04,4.153063816908287117e+04,7.816244856668368448e+04,8.578181263536254119e+04,1.031374733313210600e+05,8.276719495689100586e+04,1.050535766961518821e+05,1.165018906629843841e+05,1.067023542904724163e+05,5.525602650421809813e+04,3.254951590030691295e+04,1.275222627729377382e+04,1.264689278662709330e+04,8.456342237547696641e+03,8.824396935111748462e+03
3.396919469363697135e+04,3.571930377848532953e+04,5.599788461238529271e+04,7.924528194160482963e+04,8.158291172882262617e+04,6.745028304692803067e+04,7.870487882462279231e+04,1.063842510733261297e+05,1.685317663065937813e+05,1.189931838467415655e+05,7.365311741370186792e+04,5.285934008572373568e+04,2.039315335914255047e+04,1.896650653797346968e+04,1.305685586496380347e+04,1.408405067549295745e+04
3.667858565849209117e+04,3.837491490120561502e+04,9.475182924012644798e+04,1.002442545642793702e+05,1.354850523783842509e+05,1.146940144137381576e+05,9.276196489085287612e+04,1.182608005080332659e+05,1.691816255225977802e+05,1.915306118785152212e+05,9.148714754522562725e+04,7.761533785804740910e+04,3.835253488890869630e+04,2.145831388632275048e+04,1.952916357013713059e+04,1.400896420248569120e+04
2.942944068127901846e+04,2.551818256811272295e+04,8.143761172781563073e+04,1.118042819693877391e+05,1.743894360054910067e+05,1.353442608322645538e+05,1.021014850635879120e+05,9.620492640352838498e+04,1.165865476888270205e+05,1.476477929066972283e+05,3.090370599815695896e+05,2.301807919554256368e+05,1.251522522137391061e+05,3.135842162243669009e+04,2.559971064313505849e+04,1.643258026021557089e+04
2.681137383751616653e+04,1.939493144504962402e+04,4.547891767588214134e+04,1.087223592135472863e+05,1.437079747911552549e+05,1.858229567675987491e+05,1.117176183701562695e+05,1.094759378170421260e+05,1.031524404666813789e+05,7.884519061631860677e+04,1.964685406331244449e+05,5.271965332157226512e+05,2.948361358307420160e+05,1.033277881995288626e+05,6.366593475813537225e+04,4.143788171256534406e+04
