1.473,2.079,1.567,1.127,0,0,0,0,0,0,0,0,0
2.11,1.73,2.204,2.991,0,0,0,0,0,0,0,0,0
0,0,0.248,3.117,1.825,0,0,0,0,0,0,0,0
0,0,0,1.881,2.614,1.679,0,0,0,0,0,0,0
0,0,0,0,2.148,2.485,1.418,0,0,0,0,0,0
0,0,0,0,0,2.034,1.7,1.073,0,0,0,0,0
0,0,0,0,0,0.411,2.926,1.765,0,0,0,0,0
0,0,0,0,0,0,2.649,2.669,0,0,0,0,0
0,0,0,0,0,0,1.784,2.825,1.774,0,0,0,0
0,0,0,0,0,0,0,2.122,2.734,0,0,0,0
0,0,0,0,0,0,0,0,3.032,1.518,0,0,0
0,0,0,0,0,0,0,0,2.183,2.493,0,0,0
0,0,0,0,0,0,0,0,0,2.631,1.681,0,0
0,0,0,0,0,0,0,0,0,1.763,2.371,0,0
0,0,0,0,0,0,0,0,0,0,2.586,2.026,0
0,0,0,0,0,0,0,0,0,0,2.206,2.766,0
0,0,0,0,0,0,0,0,0,0,1.677,2.542,2.119
0,0,0,0,0,0,0,0,0,0,0,1.278,2.774
0,0,0,0,0,0,0,0,0,0,0,0,2.445
0,0,0,0,0,0,0,0,0,0,0,0,1.172
